arxiv_id,year,title,category,scope,arxiv_url
2401.01519,2024,Exploring the Frontiers of LLMs in Psychological Applications: A Comprehensive Review,methods_review,extended,https://arxiv.org/abs/2401.01519
2401.17435,2024,Can LLMs Replace Economic Choice Prediction Labs?,economic_behavior,primary,https://arxiv.org/abs/2401.17435
2402.01908,2024,Large Language Models Should Not Replace Human Participants Because They Can Misportray and Flatten Identity Groups,methods_validation,primary,https://arxiv.org/abs/2402.01908
2402.04049,2024,Systematic Biases in LLM Simulations of Debates,social_interaction,primary,https://arxiv.org/abs/2402.04049
2402.04559,2024,Can Large Language Model Agents Simulate Human Trust Behavior?,human_behavior,primary,https://arxiv.org/abs/2402.04559
2402.10811,2024,Quantifying the Persona Effect in LLM Simulations,methods_validation,primary,https://arxiv.org/abs/2402.10811
2402.12326,2024,LLM Agents for Psychology: A Study on Gamified Assessments,psychology,primary,https://arxiv.org/abs/2402.12326
2402.13374,2024,Reliable LLM-based User Simulator for Task-Oriented Dialogue Systems,user_simulation,primary,https://arxiv.org/abs/2402.13374
2402.14679,2024,Is Cognition and Action Consistent or Not: Investigating Large Language Model's Personality,psychology,extended,https://arxiv.org/abs/2402.14679
2402.16333,2024,Unveiling the Truth and Facilitating Change: Towards Agent-based Large-scale Social Movement Simulation,social_simulation,primary,https://arxiv.org/abs/2402.16333
2402.17505,2024,BASES: Large-scale Web Search User Simulation with Large Language Model based Agents,user_simulation,primary,https://arxiv.org/abs/2402.17505
2402.18144,2024,Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information,survey_opinion,primary,https://arxiv.org/abs/2402.18144
2403.05020,2024,Is This the Real Life? Is This Just Fantasy? The Misleading Success of Simulating Social Interactions With LLMs,methods_validation,primary,https://arxiv.org/abs/2403.05020
2403.08251,2024,Emergence of Social Norms in Generative Agent Societies: Principles and Architecture,social_simulation,primary,https://arxiv.org/abs/2403.08251
2403.09498,2024,From Skepticism to Acceptance: Simulating the Attitude Dynamics Toward Fake News,social_simulation,primary,https://arxiv.org/abs/2403.09498
2403.16416,2024,How Reliable is Your Simulator? Analysis on the Limitations of Current LLM-based User Simulators for Conversational Recommendation,user_validation,primary,https://arxiv.org/abs/2403.16416
